"","Subject","RT_Seconds","Condition","Response"
"461",802,0.647,"Congruent",1
"462",802,0.568,"Congruent",1
"463",802,0.544,"Congruent",1
"464",802,0.699,"Congruent",1
"465",802,0.778,"Congruent",1
"466",802,0.553,"Congruent",1
"467",802,0.96558,"Congruent",0
"468",802,0.893,"Congruent",1
"469",802,0.65,"Congruent",1
"470",802,0.642,"Congruent",1
"471",802,0.537,"Congruent",1
"472",802,0.572,"Congruent",1
"473",802,0.712,"Congruent",1
"474",802,0.62,"Congruent",1
"475",802,1.032,"Congruent",1
"476",802,0.54,"Congruent",1
"477",805,1.335,"Incongruent",1
"478",805,0.622,"Incongruent",1
"479",805,0.551,"Incongruent",1
"480",805,1.19,"Incongruent",1
"481",805,0.495,"Incongruent",1
"482",805,0.399,"Incongruent",1
"483",805,0.863,"Incongruent",1
"484",805,0.488,"Incongruent",1
"485",805,0.59,"Incongruent",1
"486",805,0.946,"Incongruent",1
"487",805,0.566,"Incongruent",1
"488",805,0.472,"Incongruent",1
"489",805,0.529,"Incongruent",1
"490",805,0.556,"Incongruent",1
"491",805,0.623,"Incongruent",1
"492",805,0.498,"Incongruent",1
"493",805,0.928,"Incongruent",1
"494",805,0.501,"Incongruent",1
"495",805,0.52,"Incongruent",1
"496",805,1.18956,"Incongruent",0
"497",805,1.087,"Incongruent",1
"498",805,0.682,"Incongruent",1
"499",805,0.734,"Incongruent",1
"500",805,0.596,"Incongruent",1
"501",805,0.645,"Incongruent",1
"502",805,0.53,"Incongruent",1
"503",805,0.52,"Incongruent",1
"504",805,0.534,"Incongruent",1
"505",805,0.636,"Incongruent",1
"506",805,0.464,"Incongruent",1
"507",805,0.86494,"Incongruent",0
"508",805,0.618,"Incongruent",1
"509",805,0.647,"Incongruent",1
"510",805,0.863,"Incongruent",1
"511",805,0.512,"Incongruent",1
"512",805,0.685,"Incongruent",1
"513",805,0.684,"Incongruent",1
"514",805,0.674,"Incongruent",1
"515",805,0.878,"Incongruent",1
"516",805,0.858,"Incongruent",1
"517",805,0.607,"Incongruent",1
"518",805,0.572,"Incongruent",1
"519",805,0.599,"Incongruent",1
"520",805,0.539,"Incongruent",1
"521",805,0.699,"Incongruent",1
"522",805,0.742,"Incongruent",1
"523",805,0.563,"Incongruent",1
"524",805,0.559,"Incongruent",1
"525",805,0.628,"Congruent",1
"526",805,0.744,"Congruent",1
"527",805,0.847,"Congruent",1
"528",805,1.045,"Congruent",1
"529",805,0.488,"Congruent",1
"530",805,0.589,"Congruent",1
"531",805,0.564,"Congruent",1
"532",805,0.545,"Congruent",1
"533",805,0.498,"Congruent",1
"534",805,0.68,"Congruent",1
"535",805,0.477,"Congruent",1
"536",805,0.53,"Congruent",1
"537",805,0.578,"Congruent",1
"538",805,0.841,"Congruent",1
"539",805,0.529,"Congruent",1
"540",805,0.498,"Congruent",1
"541",805,0.485,"Congruent",1
"542",805,0.644,"Congruent",1
"543",805,0.702,"Congruent",1
"544",805,0.583,"Congruent",1
"545",805,0.494,"Congruent",1
"546",805,0.506,"Congruent",1
"547",805,0.48,"Congruent",1
"548",805,0.757,"Congruent",1
"549",805,0.593,"Congruent",1
"550",805,0.434,"Congruent",1
"551",805,0.301,"Congruent",1
"552",805,0.349,"Congruent",1
"553",805,0.477,"Congruent",1
"554",805,0.334,"Congruent",1
"555",805,0.335,"Congruent",1
"556",805,0.626,"Congruent",1
"557",805,0.381,"Congruent",1
"558",805,0.575,"Congruent",1
"559",805,0.437,"Congruent",1
"560",805,0.378,"Congruent",1
"561",805,0.492,"Congruent",1
"562",805,0.418,"Congruent",1
"563",805,0.47,"Congruent",1
"564",805,0.44,"Congruent",1
"565",805,0.467,"Congruent",1
"566",805,0.521,"Congruent",1
"567",805,0.65192,"Congruent",0
"568",805,0.561,"Congruent",1
"569",805,0.501,"Congruent",1
"570",805,0.597,"Congruent",1
"571",805,0.516,"Congruent",1
"572",805,0.539,"Congruent",1
"573",808,0.696,"Incongruent",1
"574",808,0.622,"Incongruent",1
"575",808,0.595,"Incongruent",1
"576",808,0.514,"Incongruent",1
"577",808,0.607,"Incongruent",1
"578",808,0.786,"Incongruent",1
"579",808,0.588,"Incongruent",1
